RPM,Collective,Taper_Ratio,Thrust_N,Power_kW,Torque_Nm,Efficiency
1000,8,0.5,36.815542402913934,0.20472061661986443,1.9549378852723347,0.5161457661505274
1000,8,0.7,45.026210227581814,0.2722704065347234,2.5999908634584665,0.5249099408040974
1000,8,0.9,52.15486102778645,0.3361856131346363,3.2103361276054203,0.5299686866050979
1000,8,1.0,55.40096319834773,0.36688704490026236,3.5035132051352953,0.5316560271813142
1000,10,0.5,48.19677182536576,0.29048914408955206,2.7739669917831633,0.5448590441475807
1000,10,0.7,59.14687920973141,0.3870209929293983,3.695778246302833,0.5559687412467258
1000,10,0.9,68.7520229525279,0.4787398640791516,4.5716289494003455,0.563268902697612
1000,10,1.0,73.15648174256366,0.5229010062368471,4.993336793419212,0.5660396899193415
1000,12,0.5,59.79368849613236,0.39365696194195154,3.7591470825359816,0.5555871924081072
1000,12,0.7,73.5403377821116,0.5251642245387905,5.014948936222235,0.5680419930135885
1000,12,0.9,85.68804917862175,0.6506655529730964,6.213398343317387,0.576646570293762
1000,12,1.0,91.28677524158654,0.7112651096731637,6.792081483196984,0.5800526808698131
1000,14,0.5,71.53389982185425,0.5136668462546509,4.9051570610311375,0.5571517034517628
1000,14,0.7,88.10946352398338,0.6858622271281594,6.549501823647769,0.5704060133477409
1000,14,0.9,102.8397868324141,0.8508502701584298,8.125021579607319,0.5797967222121718
1000,14,1.0,109.6553450674967,0.9307344936047188,8.887859721799385,0.5835875854503906
1000,16,0.5,83.36994285281578,0.6500547830452054,6.20756592013044,0.5539256077031413
1000,16,0.7,102.79123618907025,0.8684181826875161,8.292782786735927,0.5676653301825573
1000,16,0.9,120.12771313081144,1.07836798383587,10.29765570597119,0.5775438639342121
1000,16,1.0,128.17417822221486,1.1802723056530502,11.27077029834908,0.5815750155653061
1200,8,0.5,53.01438106019607,0.35375722551912575,2.815110554792162,0.5161457661505274
1200,8,0.7,64.83774272771781,0.47048326249200206,3.7439868433801924,0.5249099408040974
1200,8,0.9,75.10299988001248,0.5809287394966516,4.622884023751805,0.5299686866050977
1200,8,1.0,79.77738700562075,0.6339808135876535,5.045059015394825,0.5316560271813144
1200,10,0.5,69.40335142852669,0.501965240986746,3.9945124681677546,0.5448590441475805
1200,10,0.7,85.17150606201326,0.6687722757820003,5.321920674676079,0.5559687412467261
1200,10,0.9,99.00291305164015,0.8272624851287742,6.583145687136497,0.5632689026976115
1200,10,1.0,105.34533370929168,0.9035729387772721,7.190404982523668,0.5660396899193414
1200,12,0.5,86.10291143443061,0.6802392302356922,5.413171798851814,0.5555871924081073
1200,12,0.7,105.89808640624074,0.9074837800030304,7.221526468160018,0.5680419930135885
1200,12,0.9,123.39079081721535,1.1243500755375104,8.947293614377037,0.5766465702937622
1200,12,1.0,131.4529563478846,1.2290661095152269,9.780597335803659,0.5800526808698129
1200,14,0.5,103.00881574347012,0.8876163103280367,7.06342616788484,0.5571517034517628
1200,14,0.7,126.8776274745361,1.1851699284774597,9.43128262605279,0.570406013347741
1200,14,0.9,148.08929303867632,1.4702692668337665,11.70003107463454,0.5797967222121719
1200,14,1.0,157.9036968971953,1.6083092049489547,12.798517999391114,0.5835875854503908
1200,16,0.5,120.05271770805473,1.1232946651021147,8.938894924987835,0.5539256077031413
1200,16,0.7,148.01938011226113,1.5006266196840279,11.941607212899736,0.5676653301825572
1200,16,0.9,172.98390690836845,1.863419876068384,14.828624216598515,0.5775438639342119
1200,16,1.0,184.57081663998937,2.039510544168471,16.229909229622674,0.5815750155653059
1400,8,0.5,72.15846310971128,0.5617533720049077,3.8316782551337756,0.5161457661505272
1400,8,0.7,88.25137204606034,0.7471099955312807,5.095982092378593,0.5249099408040975
1400,8,0.9,102.22352761446142,0.9224933224414419,6.292258810106622,0.5299686866050977
1400,8,1.0,108.58588786876155,1.0067380512063195,6.866885882065177,0.5316560271813144
1400,10,0.5,94.46567277771688,0.7971022113817308,5.436975303894998,0.5448590441475806
1400,10,0.7,115.92788325107355,1.0619856045982683,7.243725362753551,0.5559687412467261
1400,10,0.9,134.75396498695463,1.3136621870331915,8.960392740824673,0.5632689026976119
1400,10,1.0,143.38670421542474,1.434840361113908,9.786940115101656,0.5660396899193415
1400,12,0.5,117.1956294524194,1.0801947035687143,7.367928281770523,0.5555871924081073
1400,12,0.7,144.13906205293873,1.441050632134441,9.829299914995577,0.5680419930135886
1400,12,0.9,167.94857639009862,1.785426277358176,12.178260752902075,0.5766465702937622
1400,12,1.0,178.92207947350954,1.9517114609431605,13.312479707066089,0.580052680869813
1400,14,0.5,140.2064436508343,1.4095018261227612,9.614107839621028,0.5571517034517629
1400,14,0.7,172.69454850700737,1.8820059512396692,12.837023574349624,0.5704060133477407
1400,14,0.9,201.56598219153153,2.33473314131473,15.925042296030343,0.5797967222121717
1400,14,1.0,214.92447633229347,2.5539354504513474,17.420205054726786,0.5835875854503906
1400,16,0.5,163.4050879915189,1.7837503246760424,12.16682920345566,0.5539256077031414
1400,16,0.7,201.47082293057758,2.3829394932945425,16.253854262002413,0.5676653301825573
1400,16,0.9,235.45031773639033,2.9590417476456268,20.18340518370353,0.5775438639342119
1400,16,1.0,251.22138931554102,3.238667206711969,22.09070978476419,0.5815750155653058
1600,8,0.5,94.24778855145968,0.838535645674965,5.004640986297178,0.5161457661505272
1600,8,0.7,115.26709818260946,1.1152195851662272,6.655976610453676,0.5249099408040974
1600,8,0.9,133.51644423113333,1.377016271399471,8.218460486669876,0.5299686866050977
1600,8,1.0,141.82646578777025,1.502769335911475,8.968993805146356,0.5316560271813144
