RPM,Collective,Taper_Ratio,Thrust_N,Power_kW,Torque_Nm,Efficiency
1200,8,0.5,53.01438106019607,0.35375722551912575,2.815110554792162,0.5161457661505274
1200,8,0.7,64.83774272771781,0.47048326249200206,3.7439868433801924,0.5249099408040974
1200,8,0.9,75.10299988001248,0.5809287394966516,4.622884023751805,0.5299686866050977
1200,8,1.0,79.77738700562075,0.6339808135876535,5.045059015394825,0.5316560271813144
1200,10,0.5,69.40335142852669,0.501965240986746,3.9945124681677546,0.5448590441475805
1200,10,0.7,85.17150606201326,0.6687722757820003,5.321920674676079,0.5559687412467261
1200,10,0.9,99.00291305164015,0.8272624851287742,6.583145687136497,0.5632689026976115
1200,10,1.0,105.34533370929168,0.9035729387772721,7.190404982523668,0.5660396899193414
1200,12,0.5,86.10291143443061,0.6802392302356922,5.413171798851814,0.5555871924081073
1200,12,0.7,105.89808640624074,0.9074837800030304,7.221526468160018,0.5680419930135885
1200,12,0.9,123.39079081721535,1.1243500755375104,8.947293614377037,0.5766465702937622
1200,12,1.0,131.4529563478846,1.2290661095152269,9.780597335803659,0.5800526808698129
1200,14,0.5,103.00881574347012,0.8876163103280367,7.06342616788484,0.5571517034517628
1200,14,0.7,126.8776274745361,1.1851699284774597,9.43128262605279,0.570406013347741
1200,14,0.9,148.08929303867632,1.4702692668337665,11.70003107463454,0.5797967222121719
1200,14,1.0,157.9036968971953,1.6083092049489547,12.798517999391114,0.5835875854503908
1200,16,0.5,120.05271770805473,1.1232946651021147,8.938894924987835,0.5539256077031413
1200,16,0.7,148.01938011226113,1.5006266196840279,11.941607212899736,0.5676653301825572
1200,16,0.9,172.98390690836845,1.863419876068384,14.828624216598515,0.5775438639342119
1200,16,1.0,184.57081663998937,2.039510544168471,16.229909229622674,0.5815750155653059
1500,8,0.5,82.83497040655637,0.6909320810920426,4.398610241862754,0.5161457661505273
1500,8,0.7,101.30897301205907,0.9189126220546916,5.849979442781551,0.5249099408040973
1500,8,0.9,117.34843731251954,1.134626444329398,7.223256287112195,0.5299686866050978
1500,8,1.0,124.65216719628245,1.238243776538386,7.882904711554414,0.5316560271813143
1500,10,0.5,108.44273660707299,0.9804008613022387,6.241425731512117,0.5448590441475805
1500,10,0.7,133.08047822189573,1.3061958511367195,8.315501054181377,0.555968741246726
1500,10,0.9,154.6920516431878,1.6157470412671369,10.286165136150778,0.563268902697612
1500,10,1.0,164.60208392076825,1.7647908960493595,11.23500778519323,0.5660396899193415
1500,12,0.5,134.53579911629785,1.3285922465540867,8.45808093570596,0.5555871924081073
1500,12,0.7,165.46576000975116,1.7724292578184186,11.28363510650003,0.5680419930135886
1500,12,0.9,192.79811065189904,2.1959962412842016,13.980146272464122,0.5766465702937622
1500,12,1.0,205.3952442935697,2.4005197451469287,15.282183337193217,0.5800526808698129
1500,14,0.5,160.95127459917208,1.7336256061094468,11.036603387320064,0.5571517034517627
1500,14,0.7,198.24629292896265,2.314785016557539,14.736379103207485,0.5704060133477408
1500,14,0.9,231.3895203729317,2.8716196617847003,18.281298554116468,0.5797967222121718
1500,14,1.0,246.72452640186765,3.1412289159159275,19.997684374048617,0.5835875854503907
1500,16,0.5,187.58237141883552,2.193934892777569,13.967023320293494,0.553925607703141
1500,16,0.7,231.28028142540802,2.9309113665703674,18.65876127015584,0.567665330182557
1500,16,0.9,270.28735454432575,3.639491945446062,23.169725338435182,0.577543863934212
1500,16,1.0,288.3919009999835,3.9834190315790456,25.35923317128543,0.581575015565306
1800,8,0.5,119.28235738544112,1.1939306361270492,6.333998748282364,0.5161457661505272
1800,8,0.7,145.88492113736507,1.5878810109105066,8.423970397605432,0.5249099408040975
1800,8,0.9,168.98174973002807,1.9606344958011992,10.401489053441558,0.5299686866050977
1800,8,1.0,179.49912076264664,2.1396852458583298,11.351382784638353,0.5316560271813143
1800,10,0.5,156.15754071418505,1.6941326883302676,8.987653053377448,0.5448590441475805
1800,10,0.7,191.63588863952978,2.2571064307642503,11.97432151802118,0.5559687412467259
1800,10,0.9,222.7565543661903,2.7920108873096114,14.812077796057114,0.5632689026976118
1800,10,1.0,237.02700084590623,3.0495586683732916,16.17841121067825,0.5660396899193415
1800,12,0.5,193.73155072746883,2.2958074020454604,12.17963654741658,0.5555871924081073
1800,12,0.7,238.2706944140416,3.062757757510227,16.24843455336004,0.5680419930135885
